rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
4.59 105.52 0.23 0.07382 0.04062 0.44 2.28 1.41 6.64 8.86 40.5 -131.1 139.3 0.1 -5.3 6.1 -0.7 0.05460
7.48 123.14 11.46 0.07399 0.00073 0.28 2.11 6.32 6.72 9.06 -23.8 -2.1 -5.2 -0.2 0.1 -0.4 -0.8 0.04075
9.83 95.41 0.66 0.06892 0.00099 0.47 6.27 9.02 6.45 8.98 -22.8 2.8 -13.0 -0.1 0.1 -0.7 0.6 0.04212
9.99 52.41 8.83 0.13302 0.04120 0.18 4.13 8.50 6.96 9.41 -16.5 -53.2 -178.4 0.1 -3.4 -8.7 0.7 0.05486
4.28 78.31 12.79 0.00422 0.03717 0.36 5.78 0.31 6.69 9.18 7.4 91.2 56.3 -0.1 4.9 3.2 -0.3 0.05125
1.14 3.01 12.04 0.02221 0.00376 0.26 2.41 0.26 6.65 9.13 -68.1 -3.6 9.8 -0.2 0.2 0.5 0.7 0.04740
7.03 36.64 10.43 0.18467 0.03890 0.92 7.15 1.79 6.94 9.35 -26.7 -161.6 -59.3 0.1 -7.9 -1.9 -1.1 0.04012
3.01 53.09 12.81 0.00015 0.00519 0.10 6.08 6.04 6.96 9.31 -1.5 8.7 -30.3 0.1 0.6 -1.6 0.2 0.05197
3.17 146.20 6.20 0.18541 0.00211 0.43 8.44 8.11 6.29 8.71 -76.0 17.3 0.9 0.1 0.8 0.0 2.6 0.04977
9.43 61.43 7.44 0.02581 0.00246 0.32 1.66 4.50 6.74 9.23 -43.2 -7.4 5.8 0.1 0.3 0.0 0.2 0.05500
7.49 159.93 11.93 0.05270 0.02830 0.55 7.44 7.94 6.49 8.86 -22.7 -40.6 88.5 -0.1 -2.3 4.6 -0.3 0.04741
9.79 30.16 1.61 0.01755 0.01904 0.76 3.68 5.27 6.83 9.05 -36.4 -8.1 -209.9 -0.2 -0.4 -10.5 0.6 0.04245
1.42 144.88 11.20 0.04257 0.01418 0.68 4.50 5.66 6.87 9.04 -56.8 83.7 73.7 0.0 5.0 3.3 0.4 0.04968
9.71 167.43 6.42 0.05767 0.01985 0.98 7.40 1.64 6.56 8.81 -38.5 110.7 23.8 -0.3 5.2 0.9 0.7 0.04306
9.91 34.56 12.94 0.16049 0.01575 0.45 1.65 6.46 8.19 10.13 -109.7 -9.9 48.2 0.0 -0.0 3.7 0.8 0.04760
3.62 170.27 4.75 0.07628 0.01780 0.52 5.61 9.27 6.55 8.78 -10.0 23.8 -11.5 0.1 0.5 -1.2 0.1 0.05149
8.23 133.50 11.74 0.08647 0.01749 0.78 2.29 10.00 6.61 9.00 -61.8 -9.9 62.4 0.1 -0.6 3.5 0.0 0.05228
1.94 161.25 6.84 0.04644 0.01983 0.86 9.72 7.67 6.68 8.82 -34.8 18.9 -31.4 -0.2 1.0 -1.3 1.3 0.04142
7.81 131.60 9.53 0.16554 0.00663 0.72 3.67 3.55 6.50 8.88 -41.7 -14.8 42.8 -0.1 -0.6 1.6 -0.2 0.04004
6.27 9.14 13.13 0.08527 0.04628 0.86 1.43 2.36 7.15 9.64 -47.6 281.9 -137.6 -0.2 13.9 -8.4 0.8 0.04447
9.56 108.25 7.08 0.13205 0.04648 0.10 8.45 9.57 6.67 9.01 -49.2 -29.6 -113.6 -0.0 -0.6 -5.5 0.4 0.04233
8.55 43.95 7.34 0.10656 0.00739 0.31 8.68 2.03 6.67 9.16 4.2 6.6 -12.4 0.1 0.5 -0.5 0.1 0.05594
1.79 98.04 6.36 0.11666 0.02804 0.13 9.33 6.98 6.40 8.78 -22.4 110.5 -70.4 0.0 5.0 -3.5 0.5 0.04276
8.00 76.50 9.51 0.15225 0.01300 0.02 6.50 9.12 6.76 9.23 -50.5 24.1 -23.3 0.0 1.5 -1.0 0.2 0.04481
2.01 152.06 6.92 0.03782 0.01585 0.54 1.07 1.46 6.27 8.77 10.5 -18.8 -30.7 -0.2 -1.3 -1.8 0.5 0.04019
4.78 58.93 10.18 0.01162 0.03713 0.76 4.60 8.48 6.90 9.26 -16.7 6.5 -39.6 -0.1 0.4 -1.9 -1.0 0.04031
7.24 43.32 3.59 0.14969 0.03979 0.99 6.67 0.06 6.88 9.03 -39.5 -25.1 -3.4 0.5 -1.6 0.1 -0.6 0.05234
1.04 40.58 14.56 0.01066 0.02824 0.70 2.84 0.51 7.11 9.41 -2.2 -59.7 -111.5 -0.2 -2.7 -6.7 -0.6 0.04203
9.45 135.28 7.39 0.15656 0.04823 0.48 3.58 7.14 6.45 8.88 -27.2 74.6 -4.7 0.2 3.9 0.4 -0.1 0.04538
6.30 163.79 1.55 0.00502 0.02643 0.73 0.43 6.04 6.38 8.79 -46.4 7.1 41.6 -0.4 0.9 2.0 -0.0 0.04418
3.03 60.01 1.67 0.16685 0.01982 0.45 2.05 8.12 6.64 8.84 14.1 -65.2 -3.7 0.2 -3.5 -0.1 -0.2 0.04785
