rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
4.28 7.72 3.44 0.02642 0.03196 0.46 0.78 7.58 6.46 8.83 -29.0 72.6 20.6 -0.4 4.0 1.0 0.7 0.05475
2.40 2.10 8.65 0.14256 0.01096 0.02 0.43 8.20 6.64 9.06 -41.6 30.8 65.6 0.0 1.4 3.2 -0.1 0.04106
8.87 122.97 11.64 0.06228 0.00290 0.94 4.84 4.58 6.68 9.02 -8.2 7.2 0.8 -0.1 0.4 0.0 0.5 0.05119
8.49 44.61 12.01 0.15403 0.01495 0.73 2.40 5.51 7.52 9.75 -122.2 46.2 -54.4 0.2 3.0 -2.8 1.1 0.04059
6.14 52.25 10.01 0.13935 0.02481 0.20 9.39 7.68 6.80 9.24 -36.4 38.8 22.8 -0.1 1.9 1.9 -2.0 0.05021
8.89 74.68 11.66 0.08351 0.03262 0.26 1.95 0.78 7.01 9.44 -24.2 -70.9 -140.4 -0.1 -3.0 -6.9 0.1 0.04175
6.99 12.15 2.54 0.05400 0.03101 0.97 6.32 6.88 6.48 8.95 3.9 -36.5 -36.9 -0.1 -2.0 -2.6 -1.4 0.05577
5.64 94.24 0.60 0.14068 0.01676 0.06 3.61 3.01 6.29 8.80 -23.4 26.1 -9.2 0.1 1.4 -0.4 -0.1 0.04699
1.50 49.21 11.39 0.08692 0.01122 0.77 7.15 2.83 6.60 9.07 -21.0 -4.5 -10.7 0.1 0.0 -0.9 -0.4 0.04069
5.28 65.07 7.28 0.06136 0.03703 0.95 8.72 5.96 6.63 8.98 20.7 9.3 97.8 0.5 0.7 4.5 0.3 0.04089
0.82 75.61 5.37 0.07822 0.04315 0.07 3.47 4.60 6.37 8.80 11.8 173.4 -221.7 -0.0 7.7 -10.5 0.9 0.04958
4.68 78.92 12.20 0.15248 0.03313 0.46 8.62 7.12 7.03 9.25 -49.4 4.9 -12.0 0.1 0.6 -1.1 -0.0 0.04370
7.00 110.58 5.81 0.12063 0.01545 0.71 4.82 2.52 6.33 8.82 -62.2 23.2 -30.5 0.0 1.6 -1.7 0.6 0.04299
9.42 53.98 5.43 0.00784 0.03753 0.53 3.59 9.94 7.06 9.31 -80.0 -29.6 34.2 -0.5 -1.0 1.8 -0.5 0.05433
6.00 132.46 7.89 0.09966 0.00452 0.95 8.42 1.77 6.42 8.83 29.9 1.1 -19.0 0.2 -0.1 -1.1 -1.2 0.04629
8.28 149.35 4.75 0.19371 0.00372 0.07 7.91 7.51 6.57 8.85 -46.0 13.1 1.7 0.0 0.3 -0.3 0.5 0.04456
6.09 68.78 13.27 0.03803 0.03058 0.19 8.20 6.58 7.09 9.40 -83.7 34.9 16.9 -0.1 2.6 1.3 0.7 0.04219
1.65 153.09 12.51 0.15184 0.00923 0.24 9.63 6.00 6.87 9.06 -13.3 -16.3 -18.7 0.0 -0.6 -1.1 -0.4 0.04309
0.80 91.53 9.22 0.06693 0.04953 0.80 9.54 9.65 6.59 8.90 -77.1 -65.6 -110.9 -0.2 -3.2 -5.9 1.3 0.04494
2.83 154.67 2.89 0.15839 0.02570 0.80 1.97 0.99 6.31 8.74 -4.9 48.9 29.1 -0.3 2.5 1.6 -0.2 0.04332
6.07 21.68 4.32 0.00851 0.00612 0.31 5.52 9.68 6.40 8.91 25.0 9.7 0.7 0.1 0.5 0.0 0.1 0.04551
2.92 156.37 0.13 0.02238 0.01816 0.60 6.92 3.31 6.64 8.81 32.6 -51.5 68.3 0.6 -2.7 3.9 0.7 0.04120
2.02 155.44 9.64 0.05824 0.03993 0.70 5.93 1.87 6.70 8.92 -48.4 84.4 159.6 0.0 4.7 7.3 0.7 0.04115
3.99 143.03 6.09 0.01849 0.00840 0.25 6.46 9.11 6.36 8.80 26.5 -6.8 3.6 -0.1 -0.4 0.2 -0.5 0.05042
4.51 37.34 14.59 0.05596 0.00267 0.84 7.45 9.06 7.05 9.49 -78.2 -5.5 -2.1 -0.0 0.3 -0.4 1.1 0.04309
1.77 167.75 10.48 0.18640 0.03184 0.48 4.55 6.05 6.46 8.91 -27.2 -5.3 39.8 0.1 -0.1 2.1 0.5 0.04817
2.63 111.52 0.10 0.01601 0.02005 0.41 0.00 8.99 6.24 8.74 6.2 -49.2 -84.4 0.0 -2.1 -4.5 0.5 0.05202
5.65 114.62 4.86 0.01125 0.00214 0.44 9.07 5.07 6.41 8.81 -20.8 -0.4 -17.2 -0.1 -0.0 -0.9 0.4 0.04214
2.76 179.42 3.99 0.16317 0.02642 0.35 4.52 7.54 6.38 8.75 36.3 3.8 84.2 0.1 -0.0 3.1 -0.2 0.05123
3.99 84.33 11.63 0.17577 0.02706 0.58 5.53 2.19 6.65 9.09 -61.3 65.8 -73.5 0.2 3.3 -3.8 0.7 0.05364
7.38 4.09 9.95 0.17438 0.04511 0.69 1.52 2.37 7.09 9.50 -87.1 -53.9 -203.5 -0.1 -1.7 -10.9 -0.2 0.04175
1.23 65.71 13.33 0.17748 0.02401 0.07 1.26 2.89 6.78 9.19 -47.8 126.2 27.8 -0.0 7.1 1.8 0.6 0.04864
6.47 120.24 7.48 0.07946 0.01673 0.27 4.18 1.59 6.69 8.91 -5.7 -30.5 -15.7 -0.0 -1.8 -1.0 -0.6 0.04074
9.75 107.41 11.40 0.15260 0.04889 0.49 3.90 8.53 6.70 9.16 -22.0 71.1 51.2 0.0 4.2 1.6 0.4 0.04935
7.19 95.19 14.28 0.13775 0.01405 0.60 4.95 0.46 6.67 9.26 -68.7 -14.7 -7.0 0.1 -0.3 -0.7 -0.1 0.05111
8.67 85.06 5.18 0.07864 0.01526 0.69 6.45 3.05 6.61 8.97 -22.6 9.0 -38.9 -0.2 0.6 -2.3 0.2 0.05290
7.21 154.81 11.44 0.15040 0.03771 0.52 7.48 7.73 6.64 8.91 52.3 111.6 -17.6 -0.0 5.0 -1.6 -0.2 0.04439
7.07 90.61 10.70 0.13287 0.01479 0.72 4.95 2.73 6.69 9.10 -70.4 6.5 -3.3 0.0 0.8 -0.4 0.7 0.05087
6.57 119.66 7.23 0.11546 0.02968 0.06 7.36 1.42 6.71 8.91 -25.9 -15.0 121.1 -0.0 0.1 6.7 -0.2 0.04263
9.49 90.18 0.90 0.15594 0.04867 0.65 4.90 4.12 6.50 8.95 -45.7 -148.1 -35.2 -0.2 -6.9 -1.7 -0.1 0.04753
7.72 17.32 10.29 0.05493 0.01014 0.96 0.04 8.57 7.72 9.73 -62.9 -5.1 25.1 -0.4 -0.4 1.2 0.6 0.04736
4.58 136.94 14.64 0.19387 0.04269 0.36 4.73 8.48 6.91 9.21 -60.8 33.5 114.3 -0.1 1.8 4.6 -0.7 0.04805
0.68 118.47 8.28 0.03238 0.02178 0.54 3.16 9.83 6.93 8.99 5.0 -46.9 -19.4 0.2 -2.4 -0.8 0.2 0.04125
7.28 103.43 12.31 0.04949 0.02132 0.23 5.36 1.58 7.00 9.21 -39.3 13.9 -32.6 -0.0 0.2 -1.2 0.3 0.04848
1.27 60.54 9.18 0.14455 0.00357 0.24 8.60 4.03 6.83 8.98 -1.2 -11.3 -23.1 0.1 -0.4 -1.0 0.1 0.04525
9.90 154.12 11.25 0.04354 0.04503 0.93 1.59 8.71 6.76 8.96 38.3 -0.7 -32.1 0.2 -0.8 -2.7 -1.2 0.05378
0.45 118.73 13.45 0.07027 0.03648 0.70 7.99 3.53 6.68 9.11 -64.2 -110.5 218.8 -0.1 -6.8 11.4 -0.3 0.05271
8.69 1.63 7.63 0.00596 0.03725 0.75 8.46 6.68 6.91 9.29 -19.8 29.2 5.3 -0.1 2.0 1.4 -0.1 0.04543
9.58 106.08 11.11 0.14118 0.00258 0.35 9.17 0.64 6.75 9.10 -48.4 -16.0 0.6 -0.1 -0.5 -0.2 -0.2 0.04452
3.76 18.74 7.02 0.08394 0.01443 0.01 8.16 8.14 6.70 8.99 -29.7 -25.5 -6.1 -0.0 -0.4 -0.9 0.0 0.05435
1.79 117.06 1.02 0.16154 0.01234 0.73 8.16 7.00 6.63 8.82 31.3 21.4 23.2 0.3 1.1 1.4 -0.3 0.04590
2.61 33.86 9.58 0.05176 0.03484 0.73 9.56 9.80 6.65 9.04 -52.8 -160.9 -75.1 -0.3 -7.5 -2.9 0.0 0.04861
0.00 109.21 5.70 0.06875 0.03254 0.32 4.38 6.29 6.35 8.80 -26.5 -40.3 77.1 0.1 -2.2 4.5 -0.3 0.05501
4.86 103.54 14.36 0.11118 0.01396 0.01 5.55 6.60 6.84 9.22 -2.9 0.9 9.9 -0.0 -0.1 0.8 -0.2 0.05281
3.47 132.53 13.45 0.16743 0.00192 0.04 9.03 1.41 6.61 8.99 -11.5 2.8 -6.8 0.0 0.1 -0.3 0.4 0.04297
5.58 160.78 14.24 0.01888 0.04883 0.99 6.37 3.99 6.61 8.98 5.7 -112.8 63.5 0.4 -5.3 3.6 -1.1 0.05580
8.43 167.49 6.56 0.19471 0.04618 0.69 1.56 8.93 6.66 8.83 -5.8 -43.2 -94.5 0.3 -1.1 -3.5 0.1 0.04837
7.46 155.76 13.47 0.11919 0.02787 0.88 5.08 0.41 6.76 8.96 37.7 -80.9 -121.3 0.2 -3.4 -6.1 0.3 0.05099
1.94 107.87 2.76 0.15314 0.00119 0.64 6.21 7.58 6.36 8.78 38.7 -0.9 3.2 0.1 0.3 0.0 -0.5 0.04254
8.05 178.54 13.97 0.06873 0.03041 0.19 4.36 3.76 6.52 8.86 -57.9 -35.5 -45.1 -0.1 -2.0 -2.1 0.6 0.04688
1.08 117.41 4.78 0.03969 0.00175 0.91 3.56 6.12 6.41 8.80 45.8 2.6 -6.3 0.2 0.1 -0.3 -0.8 0.04318
6.92 129.86 0.76 0.00190 0.00821 0.14 8.98 3.18 6.78 8.92 36.5 -17.3 37.1 0.0 -1.0 1.5 -0.3 0.04076
8.24 117.72 3.55 0.18149 0.02728 0.79 8.36 4.28 6.76 8.91 20.2 36.9 89.0 -0.1 1.7 4.4 0.2 0.04921
7.25 95.33 7.59 0.14023 0.03606 0.67 1.83 6.41 6.54 9.01 28.6 -33.3 41.8 0.1 -1.0 2.1 -0.8 0.04962
4.30 139.47 9.83 0.07525 0.03692 0.52 8.28 7.97 6.39 8.86 27.5 11.2 -13.9 0.1 0.3 -0.2 0.0 0.04223
4.95 105.54 11.19 0.01166 0.01947 0.73 6.16 9.93 6.72 9.08 -67.8 -30.8 21.2 -0.2 -1.0 1.2 -0.4 0.05203
4.58 163.00 9.21 0.04798 0.00670 0.62 1.50 3.82 6.43 8.79 13.0 10.3 -12.2 -0.1 0.8 -0.8 0.6 0.05404
6.96 68.96 1.39 0.02510 0.01554 0.03 2.61 5.47 6.70 8.93 -21.1 25.9 -7.3 -0.0 1.1 -0.5 -0.1 0.04317
2.54 170.27 12.68 0.09120 0.04396 0.91 1.85 0.08 6.83 9.08 -6.9 -20.2 177.6 0.2 -1.1 9.2 -0.3 0.04364
9.32 14.99 3.73 0.08994 0.01637 0.53 3.27 3.78 6.70 9.11 -73.1 67.9 -8.8 -0.1 3.4 -0.1 0.2 0.04883
3.06 2.73 11.56 0.09731 0.00169 0.07 7.43 4.19 6.82 9.20 -18.4 -6.2 3.1 0.0 0.0 -0.1 0.6 0.05238
5.78 20.62 9.06 0.02959 0.00448 0.83 3.00 7.66 6.96 9.26 -29.7 5.7 14.5 -0.2 0.2 0.8 1.1 0.04329
1.37 68.44 2.25 0.15080 0.04088 0.40 4.43 8.65 6.54 8.79 -13.6 -74.5 -138.3 0.0 -2.6 -6.8 0.4 0.04146
9.47 106.84 3.16 0.00613 0.04187 0.81 8.80 8.24 6.52 8.95 -68.4 -74.2 49.7 0.6 -3.4 2.4 1.0 0.04548
0.78 64.60 1.12 0.17765 0.01208 0.20 1.09 9.63 6.31 8.74 -30.4 -34.9 24.8 0.0 -2.0 1.1 0.4 0.04484
3.04 104.79 12.94 0.15214 0.01638 0.05 8.92 2.29 6.67 9.06 -31.1 -110.1 7.2 0.0 -5.0 -0.1 0.3 0.05552
0.39 56.02 10.82 0.03624 0.04315 0.08 3.84 2.54 6.65 9.01 -28.5 44.9 -112.1 -0.0 3.0 -4.2 0.4 0.04652
8.68 79.25 5.42 0.07424 0.01987 0.14 7.16 6.05 6.89 9.06 -56.1 -27.6 19.9 0.0 -1.1 0.4 0.0 0.04557
9.29 172.40 8.89 0.07689 0.03170 0.03 8.60 7.31 6.51 8.81 13.4 -99.8 50.4 -0.0 -5.1 1.7 0.2 0.04641
8.76 68.12 10.87 0.05295 0.01280 0.02 8.66 6.10 6.79 9.29 -63.9 -64.4 22.4 -0.0 -2.6 0.7 0.2 0.04057
4.51 73.43 2.15 0.12901 0.02507 0.95 5.89 1.55 6.37 8.79 34.9 -13.3 46.6 0.3 -0.6 1.9 0.3 0.05186
4.49 21.58 5.59 0.12541 0.03752 0.99 5.71 9.96 6.90 9.04 -49.1 -51.1 -1.6 -0.1 -2.1 1.2 -0.6 0.04372
2.75 96.38 9.99 0.08507 0.04156 0.14 0.42 3.54 6.81 9.05 8.2 -64.0 96.7 -0.0 -2.8 3.7 -0.3 0.04536
3.21 131.94 12.74 0.01002 0.00933 0.92 2.18 7.19 6.67 9.06 -58.6 -15.1 -38.7 -0.2 -0.7 -1.9 -0.6 0.04586
3.10 25.12 11.69 0.01567 0.00292 0.42 4.44 0.56 6.67 9.20 -52.9 7.3 -2.9 -0.2 0.5 -0.2 -0.1 0.04311
4.54 162.72 0.40 0.08231 0.01192 0.13 1.38 6.17 6.38 8.77 48.3 15.8 -11.9 -0.1 0.7 -0.6 -0.2 0.04396
7.82 25.58 6.56 0.10733 0.03031 0.05 5.52 5.61 6.76 9.18 -38.1 -44.9 -101.3 -0.0 -1.5 -4.9 0.0 0.05288
6.00 118.10 13.17 0.14232 0.02018 0.40 3.48 7.84 6.73 9.12 -52.6 59.4 -147.2 -0.0 3.1 -7.1 0.6 0.05280
9.94 3.74 11.81 0.05494 0.03132 0.73 7.94 3.67 7.78 9.95 -80.3 50.0 -13.8 0.4 2.5 -1.2 0.4 0.04277
4.69 25.08 12.54 0.10529 0.00328 0.68 8.36 5.94 6.92 9.36 -15.6 39.4 -32.8 -0.5 2.2 -1.5 0.0 0.04903
9.84 161.80 10.57 0.07520 0.02403 0.60 4.47 4.90 6.45 8.80 -12.7 147.9 9.6 -0.1 6.6 0.4 -0.5 0.04299
3.56 77.66 1.54 0.07075 0.01860 0.15 1.65 2.47 6.70 8.83 -26.9 10.6 -20.1 -0.0 0.1 -1.0 0.1 0.05086
1.40 154.73 3.99 0.01222 0.00751 0.30 0.32 8.04 6.39 8.77 3.5 -8.0 -9.5 0.1 -0.4 -0.7 0.6 0.05238
4.20 129.76 10.93 0.17972 0.01065 0.74 4.16 3.23 6.85 9.00 -24.9 -0.3 19.5 0.1 0.1 0.7 0.2 0.04321
5.19 38.65 11.47 0.15859 0.01505 0.80 0.70 1.49 6.88 9.37 -12.2 -19.4 -31.2 -0.1 -1.1 -0.8 -1.4 0.05468
3.56 101.61 14.88 0.18371 0.04900 0.95 5.63 9.95 6.81 9.27 -88.1 135.1 -92.6 -0.1 7.8 -4.5 0.8 0.04269
5.96 156.62 5.87 0.01373 0.00858 0.14 8.00 4.78 6.68 8.83 3.8 -23.6 22.7 0.1 -1.0 1.1 -0.1 0.04543
8.35 28.81 0.81 0.04285 0.04019 0.92 2.45 0.15 6.63 8.93 36.0 -193.3 8.6 0.4 -9.2 -0.1 0.2 0.04914
7.37 133.14 9.18 0.06548 0.00233 0.38 9.85 8.02 6.68 8.93 13.9 -6.3 4.3 -0.2 -0.1 0.3 -0.2 0.05482
4.65 112.89 2.95 0.19427 0.04200 0.26 7.88 3.20 6.53 8.80 -10.1 -214.9 22.8 -0.2 -10.2 -1.0 0.2 0.04740
0.20 84.94 6.96 0.06431 0.04038 0.37 7.20 6.46 6.52 8.84 -50.2 -5.9 -113.9 0.1 0.5 -5.9 -0.2 0.05535
8.13 131.73 6.60 0.00664 0.04369 0.73 3.20 7.58 6.58 8.92 -18.6 -20.0 119.2 -0.1 -0.4 5.1 -0.3 0.04733
1.87 24.37 7.14 0.04260 0.02088 0.27 5.33 9.91 6.49 8.92 -37.1 -34.6 -11.8 -0.2 -1.2 -1.5 0.7 0.04472
0.35 73.31 0.44 0.16292 0.00084 0.67 5.44 8.94 6.33 8.73 -35.8 0.4 -0.2 -0.4 0.0 -0.1 0.1 0.04780
3.93 141.01 9.47 0.06563 0.02069 0.85 3.61 7.20 6.47 8.88 11.3 11.3 62.1 0.2 0.6 3.0 -0.8 0.05596
1.86 57.80 2.17 0.13258 0.01192 0.50 5.67 4.16 6.36 8.75 43.0 23.3 -19.5 0.1 1.0 -0.8 -0.1 0.04579
5.16 16.74 1.77 0.19731 0.01031 0.81 6.99 8.81 6.57 8.84 -30.0 -13.0 37.0 -0.4 -0.4 1.8 0.5 0.04455
8.24 45.86 7.57 0.10226 0.00046 0.62 3.25 0.27 7.11 9.34 -9.7 -0.7 -1.8 -0.1 0.4 -0.2 -0.5 0.05297
6.79 103.15 0.14 0.06902 0.00247 0.84 4.31 0.68 6.47 8.84 11.9 -2.1 -5.8 0.1 -0.1 -0.5 -0.5 0.04340
9.51 59.12 0.22 0.08591 0.04413 0.68 8.47 4.93 6.66 8.94 -1.3 -16.8 168.7 -0.2 -0.9 7.9 0.2 0.05263
7.65 50.42 13.65 0.02671 0.02978 0.99 2.50 2.95 7.09 9.60 -85.7 61.5 6.2 0.2 2.9 0.4 1.7 0.05151
1.43 31.58 10.18 0.07797 0.04426 0.77 5.45 9.23 6.75 9.06 -62.7 64.1 114.4 0.3 3.3 6.7 0.1 0.05261
5.07 38.43 5.23 0.05660 0.03351 0.46 6.86 8.16 6.55 8.94 26.7 -5.7 52.2 0.0 0.6 3.3 -0.4 0.05251
0.03 95.01 2.96 0.12492 0.00426 0.09 4.76 4.98 6.40 8.77 28.7 1.2 4.5 -0.0 -0.1 -0.0 -0.4 0.04485
2.68 70.71 5.30 0.07565 0.00763 0.81 0.40 9.58 6.38 8.84 -3.5 -1.8 -5.0 0.1 0.0 -0.2 0.3 0.04803
3.71 88.65 7.28 0.07718 0.00412 0.47 4.54 2.50 6.57 8.91 50.1 0.3 4.9 0.3 0.5 0.1 -0.4 0.04895
5.68 140.64 2.84 0.02290 0.02799 0.09 9.05 2.58 6.48 8.81 -1.8 62.4 -31.0 0.1 2.9 -1.7 -0.1 0.04838
6.30 21.67 1.74 0.13954 0.03056 0.70 4.09 8.62 6.57 8.89 -30.5 77.8 45.8 -0.1 2.9 2.6 0.0 0.05339
7.06 114.98 3.68 0.00688 0.00739 0.86 5.71 5.59 6.43 8.83 0.5 -18.0 11.5 0.1 -0.9 0.7 0.2 0.05158
0.05 39.14 10.91 0.19565 0.01471 0.40 6.07 6.41 6.64 9.02 -40.7 49.6 -20.8 -0.1 2.2 -0.4 -0.4 0.04747
5.10 24.88 10.96 0.04989 0.03292 0.19 3.69 1.09 7.00 9.33 -9.6 -82.6 -27.1 0.1 -4.2 -1.8 0.0 0.05445
3.99 39.52 1.87 0.08756 0.02411 0.80 9.40 9.38 6.68 8.82 -25.6 8.9 -44.8 0.2 -0.1 -2.5 0.3 0.05377
9.77 144.58 2.91 0.19198 0.00129 0.62 7.24 8.12 6.52 8.94 -53.6 -5.3 -6.5 -0.1 -0.5 -0.5 -0.3 0.04408
9.51 98.74 13.16 0.10832 0.02412 0.58 2.60 3.40 7.24 9.44 -0.7 19.6 108.1 0.0 2.1 5.4 -0.0 0.04193
2.80 136.04 3.75 0.12400 0.02067 0.41 0.99 4.57 6.32 8.74 -33.0 -73.3 47.1 0.2 -4.1 2.2 0.1 0.04637
2.53 69.40 6.38 0.06144 0.00568 0.52 3.24 7.03 6.48 8.88 -17.5 -19.9 7.1 -0.0 -0.8 -0.0 -0.6 0.04443
9.59 81.39 4.97 0.13618 0.03216 0.45 9.59 9.10 6.77 9.08 -73.9 -105.2 -150.6 -0.2 -5.3 -7.8 0.8 0.05348
1.01 21.97 13.57 0.05577 0.01277 0.58 4.94 0.49 6.91 9.26 -67.6 -7.1 -36.6 0.1 0.3 -1.6 0.2 0.04823
7.17 75.40 7.63 0.04233 0.03329 0.29 8.98 4.44 6.65 9.03 21.5 66.8 -94.2 -0.0 3.5 -4.9 0.2 0.05228
1.40 110.08 9.11 0.01688 0.04433 0.84 8.32 2.97 6.59 8.89 -30.0 -48.8 3.2 -0.0 -1.7 1.0 0.1 0.04246
0.59 132.60 2.71 0.02574 0.02897 0.74 2.91 7.58 6.43 8.77 -25.8 -22.9 -91.6 0.3 -1.4 -5.0 -0.4 0.04679
2.09 139.79 2.02 0.17443 0.04913 0.77 8.15 8.66 6.19 8.72 -37.6 -189.5 -52.7 0.3 -9.4 -3.4 0.6 0.04214
7.63 126.18 12.45 0.14117 0.02996 0.73 6.41 7.76 6.63 9.06 -54.2 -35.9 64.7 -0.0 -1.7 2.3 0.1 0.05176
1.38 12.63 7.32 0.16749 0.02116 0.38 0.01 6.54 6.55 8.90 5.4 43.6 -44.6 0.0 2.0 -1.8 0.1 0.04211
0.57 114.45 4.28 0.08593 0.03379 0.56 4.17 7.15 6.56 8.83 -28.9 34.4 -13.9 -0.0 2.8 -0.9 -0.2 0.05371
8.62 168.96 3.39 0.08293 0.03196 0.23 3.10 6.65 6.70 8.87 -16.9 -214.9 140.8 -0.0 -10.4 6.5 0.3 0.04779
3.03 13.11 14.07 0.00071 0.02688 0.98 2.04 0.80 7.25 9.53 -87.0 -7.1 -80.6 -0.3 -0.3 -3.9 0.2 0.04991
0.69 178.00 4.86 0.08048 0.03000 0.03 4.67 1.51 6.42 8.78 -28.5 -206.9 17.8 -0.0 -9.3 1.8 0.0 0.05215
0.65 10.20 11.54 0.11697 0.04839 0.75 0.65 1.22 6.97 9.16 -19.1 -115.8 14.8 -0.3 -6.0 1.6 -0.2 0.05085
0.50 137.17 11.10 0.02829 0.04440 0.87 7.79 1.82 6.80 9.04 20.9 -75.0 41.2 0.3 -2.7 1.2 -0.1 0.04059
8.95 19.08 11.26 0.08135 0.04846 0.17 4.29 7.01 7.38 9.73 -96.2 130.3 -55.8 0.0 6.4 -1.1 0.3 0.05398
1.30 7.45 12.86 0.11733 0.01338 0.08 2.67 7.66 7.00 9.34 -63.8 21.4 35.1 0.0 0.9 1.8 0.4 0.05574
5.71 128.42 3.88 0.08442 0.00483 0.02 9.20 9.79 6.79 8.91 24.2 -26.6 10.8 0.0 -0.8 0.3 0.0 0.04871
8.55 116.56 8.67 0.05080 0.02651 0.88 2.42 9.37 6.80 9.06 6.5 9.7 58.4 0.0 0.0 2.8 0.1 0.05343
2.72 85.87 2.34 0.09914 0.00689 0.65 7.68 5.93 6.43 8.77 18.7 -8.1 -21.9 -0.2 -0.2 -1.2 -0.5 0.04688
8.38 78.62 1.84 0.13339 0.04401 0.05 9.59 9.93 6.47 8.96 -11.6 80.9 -116.6 0.0 2.7 -5.2 -0.2 0.04344
6.56 96.25 14.21 0.00660 0.03457 0.31 1.08 8.96 6.94 9.34 -37.5 -53.2 17.9 0.0 -2.9 0.0 -0.4 0.04043
4.04 115.40 2.21 0.12025 0.01184 0.17 0.87 5.14 6.32 8.76 -29.0 -37.4 -25.0 -0.1 -1.9 -1.2 0.3 0.04760
0.48 58.69 6.00 0.09021 0.01848 0.07 9.27 7.86 6.71 8.86 -34.8 3.2 74.2 -0.0 0.3 3.3 0.0 0.05198
2.44 33.13 2.74 0.13969 0.01858 0.85 0.23 4.48 6.47 8.81 42.5 -82.6 122.7 0.5 -3.5 5.3 0.1 0.05552
4.07 117.36 8.20 0.06864 0.04024 0.51 3.50 4.75 6.74 8.92 38.1 165.4 -183.7 -0.0 9.3 -9.6 0.4 0.04290
0.22 77.15 5.83 0.00638 0.01747 0.47 6.64 0.50 6.39 8.81 30.1 -63.5 -41.0 0.0 -2.7 -2.4 -0.8 0.05528
5.91 159.06 0.72 0.06818 0.00612 0.35 9.52 0.12 6.57 8.87 -36.2 -38.4 -18.5 0.1 -1.7 -0.9 -0.3 0.04012
1.48 65.68 12.45 0.10797 0.01943 0.85 3.56 9.38 6.93 9.22 -62.7 -38.2 7.0 0.2 -2.1 0.7 -0.1 0.05520
4.09 87.42 7.84 0.09322 0.00923 0.57 4.54 9.06 6.69 8.98 -33.5 -50.4 -20.6 0.1 -2.1 -1.3 0.7 0.05036
0.03 10.23 6.25 0.04723 0.03628 0.18 6.48 7.45 6.34 8.79 48.1 65.6 68.3 -0.1 3.4 2.9 0.1 0.04406
7.95 159.11 11.11 0.12880 0.03248 0.60 6.97 7.36 6.28 8.78 -30.0 -155.1 -38.7 0.4 -7.6 -1.3 0.9 0.04441
0.17 164.75 2.83 0.15500 0.02372 0.49 5.46 3.12 6.36 8.72 -58.5 44.9 -4.1 0.1 2.0 0.0 0.5 0.04401
1.72 25.97 0.10 0.17902 0.01136 0.18 4.49 1.92 6.46 8.76 -4.3 15.5 23.7 0.0 0.8 1.1 -1.1 0.04962
4.00 66.32 1.15 0.00943 0.03783 0.97 1.66 7.63 6.36 8.78 36.2 84.8 -214.8 0.4 4.0 -10.4 -0.1 0.04539
0.31 123.65 1.97 0.06546 0.00545 0.84 0.31 5.62 6.56 8.78 -40.9 -13.7 -11.2 0.2 -0.6 -0.7 0.5 0.05577
4.96 173.30 12.98 0.04987 0.04418 0.97 4.23 8.97 6.60 8.93 -56.5 35.2 22.8 0.1 2.2 0.5 0.4 0.04410
1.88 40.14 8.05 0.08471 0.01111 0.34 4.75 4.49 6.44 8.92 7.4 -23.4 4.0 0.0 -0.5 0.4 -0.2 0.04425
9.24 51.62 1.97 0.10142 0.03910 0.39 1.68 4.02 6.52 9.01 -32.5 -174.6 -21.7 0.1 -7.5 -1.2 -0.7 0.04377
4.02 18.13 5.15 0.13615 0.04562 0.86 8.57 6.58 6.56 8.93 -15.6 38.6 -69.4 0.1 2.0 -3.8 -0.6 0.05403
4.63 14.59 4.89 0.01841 0.04760 0.12 9.20 0.03 6.41 8.87 4.1 -42.1 -97.3 0.1 -3.0 -6.1 -0.8 0.04445
4.39 161.52 11.28 0.07328 0.00789 0.48 6.91 0.86 6.40 8.85 35.1 -10.9 15.3 -0.2 -0.1 0.6 0.1 0.05071
1.60 56.72 6.85 0.14879 0.01006 0.38 7.81 5.69 6.49 8.85 -35.2 -48.1 5.1 -0.1 -2.1 -0.1 0.1 0.04333
3.41 61.06 12.84 0.05180 0.04644 0.75 2.53 7.60 7.01 9.34 -25.6 -108.4 -28.7 -0.2 -5.1 -1.8 -0.3 0.04145
0.85 27.91 4.69 0.13637 0.02590 0.66 2.06 2.86 6.43 8.80 33.9 84.4 -59.4 0.4 3.7 -3.2 -0.1 0.04461
2.18 149.21 4.15 0.03526 0.01170 0.64 0.34 4.75 6.33 8.76 -32.8 25.2 22.0 -0.0 1.5 1.2 -0.2 0.04895
1.49 177.89 8.54 0.03847 0.01558 0.33 9.22 6.41 6.42 8.82 35.3 66.7 -58.1 0.1 3.2 -2.9 -0.1 0.04478
1.81 134.52 13.82 0.17525 0.03048 0.04 5.82 4.57 6.77 9.13 -41.4 -61.4 97.7 0.0 -3.0 5.0 0.6 0.05172
1.52 120.65 1.62 0.16075 0.03836 0.16 5.99 2.76 6.38 8.74 -5.0 8.2 -7.5 0.1 -0.6 -0.9 0.4 0.05484
0.95 47.02 2.08 0.13863 0.01914 0.06 2.19 5.37 6.42 8.76 20.8 -10.5 -17.8 0.0 -0.0 -0.7 -0.0 0.04236
