rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
2.83 4.72 10.98 0.24881 0.03905 0.73 4.25 0.53 10.69 5.54 -2056.1 376.7 -344.0 -0.1 26.9 -26.9 0.7 0.03263
2.13 153.78 3.62 0.09435 0.02021 0.11 3.11 3.76 6.59 8.80 -29.1 -74.8 -0.3 -0.0 -4.6 -0.0 2.3 0.02495
1.94 120.52 3.99 0.06954 0.03112 0.48 5.68 0.94 6.51 8.85 0.6 67.1 6.7 0.0 3.4 -1.1 0.3 0.05600
7.86 59.58 0.71 0.05324 0.00080 0.99 2.05 1.02 6.63 8.96 -23.2 4.8 -3.8 -0.2 0.2 -0.3 1.4 0.05814
4.66 153.68 10.78 0.13403 0.01920 0.66 3.48 8.05 6.73 9.07 29.1 -51.6 -119.3 -0.4 -3.3 -5.2 -0.8 0.04491
7.02 30.81 5.79 0.29467 0.03037 0.65 9.08 5.08 6.84 9.16 -2.1 136.8 245.2 -0.1 6.7 11.6 -1.1 0.03985
7.15 8.90 5.74 0.24672 0.01638 0.05 9.12 2.60 6.90 9.17 -9.8 -117.5 18.6 0.0 -5.2 0.6 0.7 0.04279
9.44 135.52 7.75 0.04925 0.03504 0.80 8.60 3.21 6.72 9.03 28.8 -51.9 349.5 0.7 -1.6 17.2 -2.0 0.03771
5.31 118.97 8.41 0.29264 0.03928 0.11 8.43 3.41 10.68 6.97 -1276.5 82.3 273.8 -0.0 4.6 14.9 -0.0 0.02905
2.24 72.24 8.00 0.18587 0.03006 0.17 2.58 1.89 6.75 9.04 -9.8 -132.1 195.2 0.0 -6.9 10.0 -0.5 0.03572
2.34 27.72 3.01 0.21841 0.03996 0.62 8.30 7.12 6.64 8.93 36.1 -6.9 -242.2 -0.1 0.6 -13.3 -1.9 0.04247
0.27 53.81 3.73 0.28619 0.03050 0.28 1.05 1.69 6.65 8.89 9.9 -232.4 -221.0 -0.0 -12.0 -11.6 0.0 0.05180
4.71 167.76 14.64 0.21705 0.00524 0.64 6.46 9.38 6.79 9.07 -41.9 24.8 -48.1 0.0 1.2 -2.3 2.0 0.05908
6.97 153.05 0.96 0.06510 0.03178 0.93 5.07 0.28 6.71 8.94 -2.5 -20.7 -101.0 0.2 -1.5 -5.4 0.2 0.05877
9.55 72.91 8.76 0.04642 0.01315 0.59 5.02 7.01 7.21 9.47 -6.9 -68.8 23.4 0.1 -3.6 1.0 -1.6 0.02952
9.99 133.59 13.79 0.26996 0.00667 0.42 1.42 2.27 6.90 9.16 -13.2 -22.9 -34.0 0.4 -0.7 -1.8 -0.1 0.03371
7.93 174.76 12.79 0.10833 0.02885 0.15 9.42 3.04 6.60 8.92 9.6 -43.0 -128.5 -0.2 -1.8 -7.2 -0.4 0.04354
1.44 104.02 8.95 0.09985 0.02167 0.32 0.70 8.64 6.79 9.05 -8.5 -69.5 15.4 0.1 -3.1 0.6 -0.3 0.02649
6.36 0.54 0.32 0.07517 0.02306 0.07 1.24 5.57 6.60 8.93 0.6 -58.0 194.1 0.0 -3.4 10.3 0.1 0.04705
7.52 164.85 0.68 0.08397 0.01958 0.42 8.56 2.61 6.67 8.99 -11.8 -0.8 -27.2 -0.0 0.4 -2.0 -0.3 0.04652
7.76 15.70 11.87 0.28203 0.01405 0.10 6.24 5.45 10.68 5.87 -2037.7 486.4 2.6 -0.0 34.6 1.8 0.6 0.04787
1.40 53.02 3.59 0.19705 0.03774 0.66 7.38 2.69 6.57 8.83 -19.2 -79.2 -129.4 0.0 -3.7 -5.8 1.2 0.03233
9.54 146.69 4.37 0.12106 0.00546 0.44 6.57 8.33 6.69 9.01 4.8 18.9 -23.1 0.1 0.8 -1.2 -0.6 0.03548
5.97 66.67 2.97 0.09425 0.02887 0.40 1.97 5.75 6.66 8.99 -5.1 180.7 -13.9 -0.3 10.2 -0.9 0.4 0.05269
2.10 11.44 2.45 0.17893 0.02537 0.06 0.82 4.69 6.66 8.90 6.5 33.6 -29.4 -0.0 1.9 -1.9 -0.1 0.02631
4.11 19.43 12.60 0.25947 0.02529 0.26 6.44 4.34 7.16 9.47 -58.1 -31.1 97.6 0.0 -2.1 5.4 1.1 0.02661
1.32 177.65 1.64 0.21510 0.02884 0.19 9.38 1.26 6.60 8.85 2.6 51.3 40.8 0.1 3.0 -0.0 -0.1 0.04120
2.31 20.95 2.80 0.18010 0.01380 0.64 2.87 5.98 6.63 8.89 3.2 55.7 49.1 -0.1 3.7 3.1 -0.2 0.03120
6.73 128.13 7.29 0.25167 0.04875 0.65 1.80 4.00 6.66 8.94 -7.4 41.8 79.7 0.1 1.3 5.1 0.6 0.02028
4.75 121.06 6.08 0.12098 0.02210 0.76 8.96 8.13 6.69 8.96 5.5 129.9 -55.7 -0.1 5.8 -2.0 -0.7 0.05208
8.48 41.84 8.60 0.18374 0.04444 0.68 6.49 3.03 7.11 9.41 -42.0 -90.4 -152.4 -0.4 -3.7 -9.5 0.3 0.03250
9.31 52.72 9.74 0.15243 0.01118 0.36 0.03 3.32 7.36 9.62 -51.2 -48.6 -38.7 0.2 -2.3 -2.4 -0.3 0.03720
1.94 87.83 1.81 0.05139 0.03287 0.78 0.45 6.18 6.63 8.87 4.4 172.5 -60.9 0.0 9.0 -3.1 0.2 0.04010
7.15 103.36 1.88 0.07119 0.00144 0.46 7.87 4.58 6.64 8.96 4.3 2.9 8.9 0.0 -0.0 0.2 -0.4 0.05616
6.46 58.21 10.92 0.25301 0.03089 0.19 8.36 6.10 7.09 9.36 -18.4 -151.2 89.6 0.1 -6.6 5.3 -0.5 0.05121
9.23 120.39 1.45 0.17961 0.04121 0.57 8.48 5.45 6.80 9.08 -23.9 143.8 -73.9 0.1 7.2 -3.6 0.1 0.05125
0.96 39.84 3.14 0.16961 0.03113 0.34 4.69 2.00 6.59 8.87 3.3 -44.2 2.8 0.1 -1.7 0.3 -0.3 0.02818
7.26 106.94 5.03 0.13784 0.00484 0.58 9.16 4.68 6.68 8.96 -16.7 20.8 22.3 -0.0 1.2 1.2 0.7 0.05378
1.23 106.62 14.08 0.06369 0.00025 0.47 4.05 2.07 7.11 9.36 -28.7 8.2 -3.2 0.2 0.2 -0.1 -0.7 0.03579
6.57 177.54 12.38 0.01433 0.03031 0.05 7.70 3.42 6.67 8.96 18.2 -58.6 73.0 0.0 -2.5 4.1 -0.6 0.05545
1.45 179.09 14.47 0.18099 0.00214 0.53 7.18 4.55 6.91 9.24 -22.6 1.2 -4.2 -0.3 -0.6 -0.5 0.6 0.05698
6.88 141.88 1.90 0.10385 0.00102 0.80 5.77 1.91 6.63 8.89 -21.4 -8.7 11.8 -0.0 -0.3 0.4 0.9 0.04413
7.79 56.16 11.46 0.07494 0.04209 0.99 9.27 2.15 7.17 9.46 -43.9 -107.1 -42.0 0.8 -4.9 -2.1 1.3 0.03659
7.86 153.07 14.99 0.23034 0.03352 0.22 8.44 8.26 6.78 9.08 -11.0 -7.4 3.6 -0.0 2.4 -2.4 0.2 0.04773
2.96 42.15 14.00 0.01392 0.00939 0.26 6.04 1.29 7.11 9.48 -31.2 4.5 -32.3 0.0 -0.0 -1.5 -0.1 0.05681
4.03 100.85 0.91 0.14754 0.00882 0.84 5.33 2.89 6.60 8.87 -1.5 6.5 -59.5 -0.1 0.6 -3.1 0.5 0.05977
3.07 36.02 6.16 0.04609 0.02098 0.05 1.70 6.34 6.76 9.04 -4.3 31.9 63.9 0.0 2.6 3.3 -0.4 0.03769
6.73 88.04 3.08 0.13309 0.01675 0.72 8.79 5.48 6.73 8.99 -11.0 138.6 -33.4 -0.5 7.7 -1.9 0.1 0.03488
4.97 36.67 2.63 0.10274 0.00191 0.69 1.48 4.16 6.70 8.99 14.0 3.9 6.7 -0.0 0.4 0.5 -0.8 0.04349
8.47 111.17 12.56 0.11830 0.01542 0.71 4.75 1.00 6.99 9.26 -20.1 -48.5 38.9 0.5 -2.7 2.0 0.1 0.04815
3.04 22.84 6.01 0.06705 0.03636 0.04 9.64 6.49 6.69 8.96 -11.6 -20.0 64.8 -0.0 -0.6 2.1 0.8 0.02265
3.23 144.94 2.47 0.23685 0.03740 0.62 4.47 7.46 10.57 5.42 -1968.5 -652.0 616.7 0.1 -37.4 50.9 -0.5 0.03273
5.43 105.03 4.69 0.17998 0.03892 0.36 9.26 9.36 6.66 8.94 -4.4 -180.8 -225.3 0.1 -8.0 -11.5 -0.2 0.03843
1.71 35.72 10.77 0.27207 0.01883 0.99 1.27 4.07 7.04 9.25 -25.8 -72.8 12.6 -0.1 -3.6 0.4 0.4 0.04964
9.28 36.59 1.99 0.12800 0.04124 0.31 0.42 9.32 6.91 9.17 -24.6 148.1 226.7 0.0 9.1 10.7 -0.2 0.02472
9.98 69.72 12.42 0.11194 0.00893 0.28 6.40 1.68 7.40 9.70 -36.7 -5.4 86.0 0.1 0.2 5.2 -0.8 0.04126
5.72 96.74 7.28 0.05197 0.01734 0.21 4.04 7.89 6.82 9.08 -14.6 101.3 1.3 0.0 5.0 -0.8 -0.2 0.04866
9.58 0.04 8.23 0.05662 0.04774 0.07 2.40 5.69 7.39 9.67 -47.1 118.1 156.8 -0.0 6.4 7.8 -0.2 0.02148
4.46 9.36 1.27 0.28403 0.04176 0.35 8.99 6.42 6.59 8.92 18.4 389.3 -33.3 -0.0 19.4 -1.7 -0.7 0.05255
2.57 113.41 0.27 0.22981 0.01752 0.54 7.28 9.86 6.60 8.88 -5.4 -29.9 -51.2 -0.2 -0.8 -3.2 -0.3 0.03462
4.25 35.46 10.19 0.14457 0.02023 0.31 3.61 9.82 7.01 9.32 -36.3 34.5 -12.0 0.2 2.9 -1.3 0.1 0.03885
2.17 114.06 6.33 0.11767 0.02005 0.84 8.10 1.82 6.61 8.86 -25.8 81.3 -154.6 -0.1 4.7 -8.2 1.3 0.04071
3.91 156.87 14.85 0.00771 0.04682 0.07 5.92 2.17 6.87 9.18 -24.3 230.1 -96.4 -0.1 9.0 -5.9 0.7 0.04060
5.15 121.12 5.70 0.04522 0.02654 0.31 5.61 7.85 6.68 8.95 4.4 -7.7 57.8 0.0 0.0 2.9 -0.1 0.03962
4.11 64.38 11.95 0.13985 0.01298 0.71 1.37 3.68 7.09 9.40 -30.4 64.6 -5.5 -0.2 3.8 -0.6 -0.3 0.05383
6.62 115.20 14.31 0.04181 0.01971 0.75 9.74 8.50 6.88 9.22 -44.2 -151.1 -44.4 0.2 -7.2 -3.2 1.6 0.05768
7.15 164.95 6.20 0.16675 0.01745 0.54 7.72 7.41 6.60 8.88 1.1 -2.0 -12.8 0.3 0.5 -0.5 0.2 0.05234
7.09 98.39 12.32 0.28488 0.04990 0.35 2.34 9.44 10.67 5.54 -2074.2 -823.4 877.4 -0.2 -59.0 59.4 -0.5 0.05161
2.75 148.64 10.71 0.29210 0.03149 0.56 4.17 8.27 6.79 9.06 -8.0 207.9 -88.5 -0.1 9.7 -3.0 0.1 0.03727
7.82 170.15 3.33 0.27289 0.02218 0.96 0.05 6.19 6.66 8.94 25.1 8.5 15.4 -0.4 0.3 0.9 -1.6 0.02882
8.75 61.61 1.53 0.19307 0.00070 0.82 0.49 1.01 6.74 9.05 -8.4 -7.3 -19.9 0.2 0.0 -0.8 0.1 0.03547
8.03 151.58 13.17 0.19765 0.02346 0.58 8.30 0.58 6.74 8.98 -8.0 37.5 90.9 -0.3 1.5 3.7 -0.0 0.03949
3.08 143.84 9.81 0.22241 0.04844 0.85 4.76 2.17 6.70 8.96 -25.6 -31.9 -92.3 0.1 -0.9 -4.9 0.7 0.02365
4.45 47.29 12.73 0.02562 0.03355 0.85 7.20 6.02 7.12 9.45 -55.6 80.5 -227.0 0.1 4.9 -10.5 0.4 0.03990
0.18 133.04 6.24 0.01849 0.00683 0.01 6.63 3.99 6.59 8.90 -0.9 -33.8 14.0 -0.0 -1.4 0.5 0.4 0.04485
8.96 175.80 7.99 0.23937 0.01478 0.87 6.59 6.24 6.60 8.88 8.4 22.6 28.1 0.1 1.7 0.7 -0.0 0.05290
9.79 173.76 9.67 0.00942 0.00393 0.93 5.24 2.99 6.58 8.85 -9.7 -11.4 0.9 0.1 -0.5 0.1 0.6 0.04085
0.96 61.62 8.24 0.18046 0.03079 0.63 4.65 5.01 6.74 9.02 -18.4 66.2 47.2 -0.2 3.6 2.3 0.5 0.03771
3.16 124.50 8.35 0.23883 0.00914 0.04 9.33 6.06 6.69 8.96 8.8 77.1 2.6 -0.0 3.1 -0.0 -0.2 0.02931
2.76 161.27 1.86 0.16618 0.01400 0.02 2.27 2.64 6.60 8.85 9.1 -4.3 44.9 -0.0 0.3 2.0 0.1 0.02744
3.41 167.07 3.14 0.20877 0.03533 0.31 8.08 2.71 6.54 8.83 -8.0 -27.2 143.0 0.0 -1.9 5.5 0.8 0.03888
9.65 97.55 6.94 0.11323 0.01021 0.27 1.17 2.79 6.89 9.16 -22.7 29.0 38.0 -0.0 1.5 2.3 0.4 0.03667
4.78 12.28 4.34 0.05692 0.00019 0.87 4.24 9.85 6.76 9.05 0.2 -4.6 4.9 -0.3 0.0 0.1 -0.9 0.05863
4.67 155.06 2.78 0.04338 0.03055 0.82 1.07 6.24 6.62 8.91 35.7 -140.7 263.5 -0.7 -8.4 13.1 -1.6 0.05861
3.75 151.31 3.80 0.09205 0.04968 0.73 9.75 8.18 6.60 8.88 3.3 164.2 -4.1 0.2 7.2 0.3 0.2 0.03131
4.92 143.10 1.37 0.25792 0.01445 1.00 9.19 5.15 10.64 7.04 -1206.1 121.0 -39.1 0.3 6.8 -2.3 1.3 0.02717
3.47 177.11 3.65 0.03046 0.02538 0.16 0.67 4.90 6.55 8.84 1.4 60.3 13.9 0.0 2.6 0.4 1.6 0.05103
1.39 83.94 14.58 0.14420 0.01574 0.60 9.49 3.29 7.00 9.33 -9.1 -75.9 61.5 0.6 -3.1 2.8 -0.4 0.05249
6.62 67.35 8.22 0.19538 0.02657 0.18 3.09 2.08 6.88 9.21 -26.7 176.6 -238.3 -0.1 9.8 -13.7 0.7 0.05366
5.22 177.11 0.51 0.02071 0.02293 0.70 9.00 9.39 6.64 8.93 -10.2 66.7 55.2 -0.1 3.5 2.9 0.1 0.04273
8.90 92.78 10.25 0.21955 0.02285 0.49 5.50 0.61 6.98 9.27 -17.4 -76.4 -84.3 0.0 -4.0 -4.3 -0.4 0.03327
6.19 85.38 10.97 0.03932 0.02504 0.18 0.72 3.45 7.00 9.30 -32.8 -116.6 55.4 -0.0 -5.9 2.5 0.5 0.04353
3.85 28.72 7.93 0.27856 0.02558 0.44 0.69 0.83 6.85 9.18 -9.9 33.9 140.0 -0.1 2.7 7.6 -0.9 0.03275
8.96 8.38 14.82 0.18469 0.03615 0.54 4.27 7.77 9.17 10.44 -85.7 -96.7 6.1 0.2 -4.7 2.4 0.1 0.04121
6.54 117.97 4.37 0.02941 0.01424 0.76 3.15 9.16 6.63 8.98 -2.0 -104.4 0.6 -0.6 -5.3 -0.2 -0.8 0.05180
5.35 118.38 11.88 0.20220 0.03743 0.19 8.03 4.92 6.84 9.11 -4.0 85.0 -47.4 0.0 4.1 -3.7 -0.6 0.05346
2.21 39.87 2.69 0.14933 0.02704 0.81 9.01 9.12 6.64 8.90 12.7 -12.5 6.8 0.7 -1.0 0.9 -0.6 0.03300
2.33 106.49 9.86 0.20071 0.04482 0.67 1.31 9.40 6.84 9.11 -20.4 10.2 -162.6 0.1 1.3 -9.3 0.2 0.03840
9.47 110.78 6.55 0.01616 0.03551 0.09 7.24 4.25 6.81 9.07 -16.4 165.3 -45.2 0.0 8.9 -0.9 0.3 0.03445
6.09 32.58 7.39 0.26207 0.04033 0.27 0.88 9.24 7.00 9.28 -42.4 -194.6 -94.3 -0.1 -8.4 -6.1 0.3 0.04130
7.34 7.44 5.28 0.12452 0.01784 0.43 5.59 8.92 6.92 9.25 -14.4 -2.7 -9.5 -0.3 0.1 -0.9 0.2 0.04043
0.03 29.90 8.57 0.00961 0.00492 0.13 4.18 7.51 6.77 9.03 -6.6 -10.8 -13.4 -0.1 -0.3 -0.8 -0.6 0.03435
5.24 173.61 11.72 0.00209 0.03665 0.97 6.76 1.03 6.74 8.99 17.9 -232.1 -113.5 0.5 -12.5 -6.2 -1.0 0.04837
7.11 6.06 9.04 0.00895 0.01670 0.42 8.23 4.41 7.09 9.40 -31.5 -25.3 -24.9 -0.1 -0.9 -1.2 0.1 0.03685
3.16 113.80 8.90 0.08796 0.03623 0.60 0.82 9.66 6.77 9.07 -8.7 36.9 116.9 0.1 4.3 6.3 -0.5 0.02635
9.08 36.67 14.85 0.29232 0.00049 0.30 3.32 9.58 9.40 10.49 -72.2 10.9 21.6 0.1 0.4 1.0 -0.6 0.04274
5.59 124.71 12.11 0.04590 0.04376 0.83 7.10 4.97 6.78 9.10 -8.3 180.4 -279.0 0.3 9.5 -14.1 -0.8 0.05480
4.13 5.45 0.86 0.05921 0.04526 0.34 2.22 8.37 6.60 8.91 -4.3 -134.9 49.3 0.0 -7.9 2.6 -0.1 0.03108
5.44 7.56 3.53 0.25543 0.04823 0.27 2.65 0.30 6.77 9.05 6.2 -11.3 -249.7 -0.0 0.7 -13.5 -0.9 0.03820
3.31 41.63 8.74 0.02659 0.03364 0.45 6.17 3.12 6.86 9.12 -28.4 -172.2 153.8 0.1 -8.6 6.6 1.0 0.02030
6.58 56.54 7.90 0.24659 0.00695 0.36 7.86 2.06 7.79 9.28 -20.4 1.2 -99.8 0.5 -0.1 -3.4 0.5 0.04361
4.67 90.11 3.43 0.07483 0.02144 0.32 0.18 4.86 6.70 8.96 14.0 -22.1 -29.4 -0.0 -1.3 -1.9 -1.4 0.03195
4.25 38.21 10.42 0.27047 0.01320 0.74 7.81 2.54 10.68 6.23 -1767.3 -15.5 -28.1 0.4 -1.2 -2.3 1.3 0.05918
1.51 74.51 4.37 0.06350 0.03170 0.86 4.72 1.75 6.66 8.90 8.7 7.6 -45.0 0.1 0.0 -1.8 -0.2 0.03065
4.39 137.76 13.42 0.00892 0.00473 0.53 7.69 3.05 6.79 9.10 -20.9 -22.8 1.8 -0.1 -1.0 0.1 0.2 0.05014
2.19 10.79 2.69 0.22305 0.00886 0.10 6.75 1.63 6.54 8.85 -7.5 3.9 95.4 -0.0 0.7 5.0 0.3 0.04564
8.56 93.10 3.26 0.11742 0.00307 0.34 9.41 6.93 6.76 9.03 -15.8 3.0 -3.9 0.0 0.2 -0.3 0.1 0.02769
6.56 97.08 5.92 0.24496 0.02625 0.84 1.85 0.06 6.60 8.96 -30.0 141.7 -42.8 0.1 7.6 -1.5 1.3 0.03569
1.21 68.53 11.45 0.19141 0.01192 0.76 7.78 4.24 6.88 9.15 -21.8 10.0 80.6 -0.7 -0.3 3.8 0.0 0.04709
0.92 177.79 5.95 0.20527 0.03934 0.58 1.09 3.17 6.66 8.91 -2.4 -84.8 184.1 -0.3 -3.9 10.3 0.2 0.03403
2.33 67.10 3.07 0.29157 0.02784 0.59 2.13 2.01 6.62 8.89 4.5 86.5 -11.5 -0.1 4.1 -0.0 -0.1 0.02963
8.95 42.71 14.59 0.21308 0.01546 0.03 4.53 5.15 8.30 10.15 -86.8 -57.3 44.9 0.0 -3.0 0.8 0.5 0.03169
2.86 172.45 12.59 0.25771 0.04352 0.22 5.07 8.40 6.74 9.08 -7.5 -144.5 -1.8 0.0 -8.2 0.5 0.1 0.05025
9.95 79.16 1.20 0.09196 0.01077 0.64 3.52 4.16 6.78 9.09 -15.8 -13.8 2.7 0.1 -0.4 0.4 -0.2 0.05666
7.06 104.98 6.20 0.18854 0.01557 0.83 8.48 4.28 6.75 9.02 6.5 -38.2 -62.7 0.5 -1.8 -3.7 -0.1 0.04106
0.05 39.51 7.77 0.20854 0.03733 0.39 1.10 6.43 6.81 9.05 8.7 33.8 372.9 -0.3 2.3 19.4 -0.8 0.04217
4.95 54.15 2.31 0.19859 0.00255 0.71 3.30 8.68 6.68 8.95 -3.9 10.0 5.4 0.5 0.3 0.1 -0.4 0.03808
1.00 14.77 12.65 0.21685 0.02641 0.32 0.25 9.45 7.00 9.31 -39.3 93.2 69.6 -0.1 4.9 3.6 0.2 0.05683
7.63 139.43 1.69 0.15198 0.02115 0.82 4.25 9.10 6.74 9.02 9.0 115.2 -79.1 -0.0 4.3 -3.8 -1.3 0.03799
4.40 137.08 14.57 0.08218 0.01071 0.42 7.99 2.74 6.99 9.23 16.2 -49.3 -10.8 -0.1 -2.4 -0.4 -1.6 0.04491
3.24 83.40 1.61 0.27585 0.04271 0.56 6.73 2.17 6.62 8.89 20.2 -314.1 -54.6 -0.3 -15.2 -3.5 -0.2 0.02703
7.71 48.65 13.88 0.04587 0.04849 0.81 1.20 2.43 7.61 9.87 -87.5 125.5 -277.3 -0.2 8.4 -17.4 1.1 0.04693
9.13 10.11 1.71 0.21502 0.04825 0.55 3.84 5.88 6.74 9.05 -40.3 -317.4 -65.0 0.0 -16.3 -3.9 1.2 0.03946
3.52 161.29 9.68 0.26203 0.03030 0.69 4.16 1.38 6.64 8.99 22.2 33.1 108.8 -0.0 1.8 6.2 -1.2 0.05518
5.43 67.68 9.48 0.01384 0.02141 0.65 3.19 5.10 6.97 9.23 -31.3 -48.3 -3.0 -0.0 -2.2 0.6 0.0 0.03459
1.49 72.38 4.74 0.23632 0.02988 0.71 3.98 3.16 6.67 8.95 33.8 119.9 -111.5 0.5 5.6 -5.5 -1.1 0.04442
4.94 164.63 13.57 0.21368 0.01411 0.13 5.38 2.87 6.83 9.08 -3.2 20.0 38.3 0.0 1.7 1.6 -0.1 0.02598
5.08 58.04 4.18 0.23698 0.04268 0.31 6.64 6.77 6.76 9.06 37.3 -358.3 -137.5 0.1 -18.9 -6.9 -2.3 0.02994
9.16 25.24 12.24 0.17131 0.02879 0.71 0.45 8.56 8.05 10.10 -79.6 -20.4 -154.1 -0.2 -0.8 -9.3 0.6 0.03253
0.50 137.38 8.26 0.14582 0.04151 0.23 9.78 9.41 6.69 9.01 26.8 -250.4 88.8 -0.1 -12.6 5.8 -1.1 0.05914
3.27 120.61 5.52 0.07011 0.02338 0.06 5.82 8.76 6.67 8.93 6.1 90.4 -112.7 -0.0 4.5 -6.0 -0.1 0.05253
7.02 61.72 6.17 0.00983 0.00493 0.01 7.53 8.24 6.87 9.13 -24.6 -36.2 -14.6 0.0 -1.9 -1.0 0.8 0.03772
7.75 157.42 11.38 0.17221 0.04905 0.07 5.49 6.13 6.67 8.94 -5.5 -121.0 346.2 0.1 -7.3 18.2 -0.0 0.02234
9.71 5.59 12.93 0.12385 0.01378 0.02 0.93 3.47 8.25 10.21 -94.6 48.8 -28.6 -0.0 3.3 -1.4 1.1 0.05679
7.97 115.35 4.24 0.07019 0.01163 0.67 0.61 6.11 6.73 9.02 9.2 5.5 -10.8 0.0 0.6 -0.7 -1.0 0.03916
6.30 167.67 14.93 0.01688 0.02284 0.20 7.21 1.99 6.79 9.05 -14.9 -81.8 17.7 0.0 -3.4 0.7 0.3 0.02220
9.95 104.95 13.47 0.25879 0.03404 0.98 0.69 7.41 7.21 9.51 -35.0 72.5 -83.2 -0.3 6.0 -4.8 -0.2 0.04416
6.48 22.88 3.15 0.23183 0.03979 0.64 1.49 7.83 6.77 9.10 13.5 -42.7 -81.4 -0.2 -1.7 -2.4 -0.6 0.05363
9.26 129.24 8.13 0.03344 0.03813 0.49 7.12 8.99 6.79 9.05 -18.7 -81.0 -106.7 0.2 -4.8 -5.5 1.0 0.03291
6.06 82.87 14.64 0.26428 0.03514 0.67 1.06 0.40 10.67 8.95 -580.9 -242.9 212.6 0.3 -13.5 10.4 -0.0 0.04242
8.69 93.09 7.62 0.28833 0.02853 0.88 8.60 8.75 6.87 9.18 -10.0 -12.6 -37.6 0.2 -1.2 -2.6 -0.4 0.03942
0.76 7.53 8.40 0.08448 0.04863 0.15 4.23 5.22 6.83 9.08 -1.5 92.4 -85.9 -0.1 6.0 -4.5 -0.4 0.05966
7.57 22.02 12.84 0.22313 0.02724 0.41 3.91 6.99 7.66 9.93 -83.1 -7.9 128.1 0.6 -1.1 7.4 0.7 0.05517
6.31 81.74 7.09 0.19358 0.03267 0.09 3.99 8.65 6.80 9.13 -10.0 -26.5 -211.6 0.0 0.2 -11.0 0.0 0.03635
9.57 66.80 13.21 0.00924 0.02794 0.94 4.73 2.17 7.49 9.76 -68.9 94.3 173.2 -0.3 5.2 10.6 0.5 0.02232
7.72 70.32 6.84 0.09850 0.03642 0.20 4.80 1.57 6.89 9.18 -20.8 166.3 -3.0 0.1 7.9 0.0 0.1 0.03096
1.59 115.14 10.24 0.11599 0.04934 0.73 4.23 4.69 6.80 9.10 -0.1 -310.3 -99.8 -0.3 -16.5 -7.1 -0.5 0.04625
3.78 17.80 3.11 0.11170 0.01231 0.46 0.40 3.77 6.65 8.96 4.1 11.3 -101.1 0.3 0.5 -6.0 0.1 0.05077
0.03 55.68 12.92 0.27990 0.03677 0.42 9.79 9.29 6.92 9.25 14.0 -183.3 216.5 -0.1 -10.5 13.6 -1.2 0.03673
8.08 41.58 2.11 0.10972 0.02239 0.05 4.62 6.07 6.77 9.03 -33.4 73.6 -2.3 -0.0 3.4 0.5 1.0 0.02974
8.23 114.00 2.00 0.09134 0.02637 0.33 6.64 4.65 6.69 8.97 -18.6 -51.0 196.0 -0.2 -2.6 9.6 0.2 0.02656
8.74 78.95 8.28 0.00792 0.01953 0.65 6.36 2.90 7.00 9.27 -1.5 -101.5 76.0 0.2 -4.3 3.5 -0.9 0.04360
7.85 144.44 7.29 0.26504 0.04268 0.88 0.92 2.94 6.64 8.93 14.4 -132.3 -248.1 -0.3 -6.5 -13.5 -0.3 0.05257
0.01 128.92 6.43 0.04240 0.00554 0.12 7.33 0.01 6.67 8.92 2.9 -0.5 -82.4 0.1 0.3 -4.2 0.0 0.05579
5.47 8.70 7.34 0.14752 0.03897 0.23 0.37 7.86 6.99 9.25 -24.8 410.2 198.2 -0.0 19.6 12.3 0.3 0.02995
6.44 67.87 11.09 0.07412 0.02617 0.13 6.34 2.42 7.09 9.37 -28.7 150.5 -116.0 0.0 7.5 -5.4 0.4 0.04247
9.77 103.36 11.08 0.03495 0.02070 0.83 9.98 7.48 6.98 9.30 -35.3 -42.7 -16.0 -0.0 -1.7 -2.1 0.2 0.05082
1.69 112.70 6.78 0.29014 0.04344 0.51 6.94 2.01 6.63 8.91 -6.5 -83.1 238.8 0.2 -3.9 13.3 0.5 0.04089
9.58 98.00 0.24 0.00763 0.04251 0.35 6.74 3.69 6.77 9.06 -17.1 115.9 -141.9 -0.1 7.8 -8.0 0.1 0.03487
3.99 82.89 2.31 0.21105 0.00881 0.05 7.58 3.22 6.60 8.86 -18.1 1.3 84.4 0.0 -0.2 3.0 1.7 0.04905
8.48 43.26 2.84 0.26423 0.03218 0.87 1.04 2.46 6.79 9.08 -34.8 32.6 -102.2 -0.2 1.6 -4.1 1.0 0.03991
5.90 114.54 3.20 0.13096 0.04329 0.62 0.33 0.68 6.64 8.91 -0.3 -105.4 14.0 0.2 -4.8 0.4 -0.3 0.02268
8.90 117.33 8.04 0.19586 0.03881 0.52 2.51 0.46 6.78 9.07 4.3 29.2 -168.7 -0.1 1.2 -8.6 -1.2 0.02897
4.84 118.11 4.56 0.10984 0.01497 0.44 5.98 4.93 6.65 8.92 12.0 -85.1 -129.9 -0.1 -4.1 -6.3 -1.1 0.03142
4.17 111.91 7.92 0.08249 0.01645 0.14 9.67 4.33 6.65 8.95 2.5 98.5 -88.2 -0.0 6.0 -4.2 -0.6 0.04003
