rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
2.52 95.41 6.24 0.17721 0.00575 0.06 1.65 3.92 6.67 8.95 -7.0 -6.0 4.1 0.0 -0.6 0.3 -0.3 0.02888
4.13 136.95 13.82 0.00089 0.03505 0.91 0.39 3.66 6.95 9.22 -19.3 -67.2 17.1 -0.4 -3.6 -0.1 -0.7 0.03606
9.90 5.82 14.45 0.23321 0.01190 0.19 7.91 7.74 8.45 10.27 -89.4 -46.1 25.9 -0.1 -1.9 1.0 0.6 0.03657
9.35 103.26 12.74 0.05009 0.00999 0.11 9.77 1.00 7.00 9.29 -13.1 9.2 -27.6 0.0 0.7 -1.0 -0.5 0.03702
1.59 55.40 7.00 0.06813 0.01518 0.74 0.81 2.13 6.68 8.98 -24.5 43.9 -14.9 -0.1 2.7 -1.0 1.1 0.05206
6.52 29.41 10.70 0.29523 0.04847 0.16 2.00 1.05 10.66 6.49 -1746.0 -32.7 -337.8 -0.1 -2.5 -22.2 0.1 0.04418
2.41 87.17 4.37 0.16198 0.02517 0.04 8.57 1.44 6.61 8.88 5.4 121.7 158.6 0.0 7.2 9.3 0.5 0.04130
4.34 157.16 2.95 0.16964 0.02988 0.21 8.75 8.08 6.63 8.88 2.8 141.5 55.0 0.0 7.8 1.7 0.4 0.04873
9.36 90.28 4.66 0.26599 0.01092 0.35 3.75 2.18 6.81 9.10 -14.5 61.3 -56.0 -0.1 2.9 -3.4 -0.5 0.05789
6.94 8.23 13.08 0.06612 0.04875 0.36 0.67 0.92 7.65 9.90 -77.3 148.8 -38.2 0.0 7.8 -0.8 0.5 0.02875
4.58 179.91 13.35 0.23158 0.03653 0.36 8.13 9.06 6.73 9.04 -7.0 -234.7 76.6 -0.2 -12.0 5.5 -0.6 0.03069
0.27 74.68 3.49 0.12346 0.01565 0.82 3.99 4.19 6.62 8.88 10.3 -36.0 -60.1 -0.3 -2.4 -3.0 -0.4 0.02394
6.33 4.05 5.35 0.25216 0.02845 0.92 9.77 9.31 6.81 9.07 -26.5 86.5 47.4 -0.0 4.0 4.0 1.6 0.04782
1.38 92.54 0.79 0.22487 0.03323 0.99 6.83 3.96 6.58 8.86 11.4 -196.8 -92.3 -0.2 -9.7 -5.4 -0.4 0.02613
0.04 69.20 13.00 0.29087 0.02968 0.11 3.69 5.60 10.64 8.81 -462.3 217.0 -35.5 0.0 11.9 -2.1 0.2 0.03201
8.56 47.89 13.57 0.27955 0.00216 0.23 7.71 8.53 7.65 9.87 -69.2 -2.9 -0.5 0.1 0.3 -0.2 0.2 0.04806
